epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7881261110305786,0.7419270873069763,0.001,0.9518193006515503,0.15935765206813812
1,0.9325869083404541,0.22625529766082764,0.001,0.9715182185173035,0.1036519706249237
2,0.9494696259498596,0.16865701973438263,0.001,0.9765369892120361,0.08393292129039764
3,0.959222137928009,0.13932152092456818,0.001,0.9767879843711853,0.07802706211805344
4,0.9633617997169495,0.12072254717350006,0.001,0.9762860536575317,0.07622364908456802
5,0.9670889973640442,0.10908401757478714,0.001,0.9836888313293457,0.061484694480895996
6,0.9703152775764465,0.0989265963435173,0.001,0.9821831583976746,0.061593033373355865
7,0.9724366664886475,0.0919659435749054,0.001,0.9826850891113281,0.058826085180044174
8,0.974602222442627,0.08472206443548203,0.001,0.9803011417388916,0.06940387934446335
9,0.9759575724601746,0.07860799133777618,0.001,0.9854454398155212,0.06324002146720886
10,0.9766057729721069,0.07859738171100616,0.001,0.9844416379928589,0.05457213148474693
11,0.9786534905433655,0.07070210576057434,0.001,0.9863237142562866,0.061073292046785355
12,0.9796552658081055,0.06730185449123383,0.001,0.9835633635520935,0.05765983462333679
13,0.9798910021781921,0.06694002449512482,0.001,0.987201988697052,0.04560614004731178
14,0.9808043837547302,0.061801228672266006,0.001,0.9864491820335388,0.04806484654545784
15,0.9806128740310669,0.06249036639928818,0.001,0.9861982464790344,0.049253568053245544
16,0.9823659658432007,0.05805876851081848,0.001,0.9860727787017822,0.04954352229833603
17,0.9826900362968445,0.05718430131673813,0.001,0.9860727787017822,0.04866555705666542
18,0.9836181402206421,0.0528465174138546,0.001,0.9873274564743042,0.04792167246341705
19,0.983588695526123,0.053228192031383514,0.001,0.9867001175880432,0.05247560888528824
20,0.9840158820152283,0.05122794583439827,0.001,0.9873274564743042,0.04702222719788551
21,0.9899970293045044,0.03250918909907341,0.000100000005,0.9907152056694031,0.03861579671502113
22,0.9914113283157349,0.02731833979487419,0.000100000005,0.9899623394012451,0.03670664131641388
23,0.9919711351394653,0.026263883337378502,0.000100000005,0.9902132749557495,0.035056110471487045
24,0.9931791424751282,0.022890279069542885,0.000100000005,0.9905897378921509,0.033204685896635056
25,0.9926487803459167,0.02236057259142399,0.000100000005,0.9908406734466553,0.03334852680563927
26,0.9931644201278687,0.021647535264492035,0.000100000005,0.9909661412239075,0.032153863459825516
27,0.9934148788452148,0.020674843341112137,0.000100000005,0.9910916090011597,0.031951501965522766
28,0.9939157366752625,0.019591310992836952,0.000100000005,0.9914680123329163,0.0342833548784256
29,0.9937536716461182,0.01973029598593712,0.000100000005,0.9908406734466553,0.033172596246004105
30,0.9939010143280029,0.020079230889678,0.000100000005,0.9909661412239075,0.03455067425966263
31,0.9946523308753967,0.017677364870905876,0.000100000005,0.9909661412239075,0.03337573632597923
32,0.9944902658462524,0.017888590693473816,0.000100000005,0.9915934801101685,0.033379506319761276
33,0.994387149810791,0.017709895968437195,0.000100000005,0.991969883441925,0.031100621446967125
34,0.994387149810791,0.017091594636440277,0.000100000005,0.9915934801101685,0.032007962465286255
35,0.9942840337753296,0.01713273674249649,0.000100000005,0.9909661412239075,0.03180661424994469
36,0.9945786595344543,0.017564736306667328,0.000100000005,0.991969883441925,0.03271472081542015
37,0.9951237440109253,0.015021979808807373,0.000100000005,0.991969883441925,0.03137100115418434
38,0.9948438405990601,0.01562582142651081,0.000100000005,0.991969883441925,0.03145507350564003
39,0.9947260022163391,0.017007414251565933,0.000100000005,0.9917189478874207,0.0329304002225399
40,0.9949027895927429,0.016461968421936035,0.000100000005,0.9920953512191772,0.03137720748782158
41,0.9952121376991272,0.01507904939353466,1.0000001e-05,0.9918444156646729,0.031287748366594315
42,0.9953299760818481,0.014671055600047112,1.0000001e-05,0.9918444156646729,0.031179117038846016
